Qualtrics ID,QID,Question,Answer
Q1,148,"Though many _____ endlessly praised his work, Dan often wished for some honest criticism.",sycophants
Q2,49,What broad group of animals are the first true tetrapods?,amphibians
Q5,6,What is the most abundant metal of the earth's crust?,aluminum
Q6,51,"Arrange in the correct the steps to take when someone splashes a chemical into the eye: (i) call a doctor, (ii) take out any contact lenses, (iii) flush the eyes with plenty of water, (iv) wash your hands with soap and water.","iii, iv, ii, i"
Q7,93,"True or false: if you wear a back belt, you can lift more weight than you could without a belt.",FALSE
Q10,21,What living species of bird is considered the largest of the raptors?,golden eagles
Q12,82,Which fire extinguishers are used to put out Class A fires?,Both water and multi-purpose dry chemical
Q19,131,"In 1770s colonial New England, Puritans _____ the celebration of Christmas, which they considered to be an odious reminder of the Pope's tyranny.",repudiated
Q20,41,The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,head
Q21,55,"Arrange in the correct order the following treatment steps for somebody who has lost consciousness: (i) call 911 or inform someone of the situation, (ii) begin CPR, (iii) check the patient's airway to make sure it is clear, (iv) place the victim on his\/her back, (v) check signs of life (coughing, breathing, or movement).","iv, i, iii, v, ii"
Q22,37,What are the hormones that cause a plant to grow?,gibberellins
Q23,52,What is the correct method for saving someone from choking?,Five back blows followed by five abdominal thrusts if necessary
Q27,11,Organisms that live deep in the ocean must be able to withstand what?,extreme water pressure
Q33,90,True or false: the primary function of a fire door is to exit a building in case of fire.,FALSE
Q38,44,What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?,birds
Q42,76,"When using a ladder to climb a roof, the ladder must extend at least___ above it.",36
Q50,27,The lithosphere is divided into a dozen major and several minor what?,plates
Q51,65,What does CERT stand for?,Community Emergency Response Team
Q52,35,What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,elephantiasis
Q54,125,"Prior to taking on the new invader, the defending army had engaged in arduous combat; it is likely that the _____ resulting from waging two battles in two days played a part in its subsequent defeat.",enervation
Q56,99,True or false: wearing a back belt is a proven way to minimize the risk of back injury at work.,FALSE
