Qualtrics ID,Question,Answer
1,"Though many _____ endlessly praised his work, Dan often wished for some honest criticism.",sychophants
3,On what day of the cycle does ovulation usually occur?,14th
5,What is the most abundant metal of the earth's crust?,aluminum
6,"Arrange in the correct the steps to take when someone splashes a chemical into the eye: (i) call a doctor, (ii) take out any contact lenses, (iii) flush the eyes with plenty of water, (iv) wash your hands with soap and water.","iii, iv, ii, i"
7,"True or false: if you wear a back belt, you can lift more weight than you could without a belt.",FALSE
10,What living species of bird is considered the largest of the raptors?,golden eagles
12,Which fire extinguishers are used to put out Class A fires?,Both water and multi-purpose dry chemical
14,"Ancient generals, lacking modern technologies such as radio and satellite communication, often found that one of the most significant challenges in warfare was accurate _____ of the myriad of changes on the battlefield or in the campaign.",appraisal
16,"With a similar contrast between a partly cloudy sky and a dark street, the cover of the recent rock CD _____ a famous surrealist painting from the early 1900s.",evokes
17,"Video game enthusiasts know that, while the astounding advances in technological innovation might increase the level of fun of the gaming experience, such a result is by no means _____ .",ineluctable
20,The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,head
25,What is a symptom of a heatstroke?,"Rapid strong pulse, hallucinations, throbbing headache, and high body temperature"
29,"Temperature, water, soil, and air are examples of nonliving factors of an ecosystem, also termed what?",abiotic factors
30,What should you do if you are unable to evacuate a burning building?,Stay low under the smoke
31,To what does the acronym SLM refer?,Sound Level Meter
33,True or false: the primary function of a fire door is to exit a building in case of fire.,FALSE
34,How often should women perform a breast self-exam?,monthly
36,"In psychological literature, the ""sleeper effect"" refers to the phenomenon in which a persuasive message from a trustworthy source loses _____ over time, while the efficacy of a message from a less credible source simultaneously increases.",cogency
37,What are the little sacs at the end of the bronchioles called?,alveoli
38,What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?,birds
40,"When your brain senses that your body temperature is increasing, it sends messages to the blood vessels in the skin to increase in what?",diameter
41,"What arises due to crossing over, independent assortment, and the random union of gametes?",genetic variation
42,"When using a ladder to climb a roof, the ladder must extend at least___ above it.",36
43,Voters have become so inured to the fickle nature of politicians that they responded to the levy of a new tax with _____ .,stolidity
44,What should you NOT do while treating cuts and scrapes?,Wash the wound with soap
45,"True or false: you can always smell, see, or taste harmful bacteria in food that can cause illness.",FALSE
46,Most insects reproduce quickly and through what type of reproduction?,sexual reproduction
49,"Despite the smile that spread from ear to ear, the eyes relayed a certain _____ .",sorrow
50,The lithosphere is divided into a dozen major and several minor what?,plates
51,What does CERT stand for?,Community Emergency Response Team
52,What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,elephantiasis
53,"Dolly Madison, the wife of President James Madison, was known especially for her _____ , remaining calm even as the British invaded Washington D.C. during the War of 1812.",equanimity
54,"Prior to taking on the new invader, the defending army had engaged in arduous combat; it is likely that the _____ resulting from waging two battles in two days played a part in its subsequent defeat.",enervation
55,While she may have answered him truthfully - in the strictest sense of the word - it became clear to Sergei after the incident that Sheryl had actually been trying to _____ .,obfuscate
56,True or false: wearing a back belt is a proven way to minimize the risk of back injury at work.,FALSE
58,What are classified by climatic factors and types of primary producers?,terrestrial biomes
59,True or false: individuals who are lactose-intolerant can consume pasteurized milk without negative side effects.,FALSE
