Qualtrics ID,QID,Question,Answer
Q2,49,What broad group of animals are the first true tetrapods?,amphibians
Q3,18,On what day of the cycle does ovulation usually occur?,14th
Q5,6,What is the most abundant metal of the earth's crust?,aluminum
Q6,51,"Arrange in the correct the steps to take when someone splashes a chemical into the eye: (i) call a doctor, (ii) take out any contact lenses, (iii) flush the eyes with plenty of water, (iv) wash your hands with soap and water.","iii, iv, ii, i"
Q10,21,What living species of bird is considered the largest of the raptors?,golden eagles
Q12,82,Which fire extinguishers are used to put out Class A fires?,Both water and multi-purpose dry chemical
Q14,135,"Ancient generals, lacking modern technologies such as radio and satellite communication, often found that one of the most significant challenges in warfare was accurate _____ of the myriad of changes on the battlefield or in the campaign.",appraisal
Q15,114,"Dismissed by the establishment, professing nothing but disdain for the canon, and yet beloved by his followers who trumpet his _____ opinions, the raffish pundit is laughing all the way to the bank.",iconoclastic
Q17,113,"Video game enthusiasts know that, while the astounding advances in technological innovation might increase the level of fun of the gaming experience, such a result is by no means _____ .",ineluctable
Q20,41,The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,head
Q22,37,What are the hormones that cause a plant to grow?,gibberellins
Q23,52,What is the correct method for saving someone from choking?,Five back blows followed by five abdominal thrusts if necessary
Q27,11,Organisms that live deep in the ocean must be able to withstand what?,extreme water pressure
Q28,64,How long can high-acid canned food such as tomatoes be stored?,12 to 18 months
Q31,84,To what does the acronym SLM refer?,Sound Level Meter
Q32,103,The Erie Canal's completion caused _____ economic ripples; property values and industrial output along its route rose exponentially.,prodigious
Q34,32,How often should women perform a breast self-exam?,monthly
Q35,117,"Possessing few natural resources upon its newly-granted independence in 1863, Singapore remained economically _____ until an influx of industrialization and foreign investment took hold there.",dubious
Q36,136,"In psychological literature, the ""sleeper effect"" refers to the phenomenon in which a persuasive message from a trustworthy source loses _____ over time, while the efficacy of a message from a less credible source simultaneously increases.",cogency
Q38,44,What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?,birds
Q41,42,"What arises due to crossing over, independent assortment, and the random union of gametes?",genetic variation
Q42,76,"When using a ladder to climb a roof, the ladder must extend at least___ above it.",36
Q46,5,Most insects reproduce quickly and through what type of reproduction?,sexual reproduction
Q47,15,"Although magma once filled our moon's craters, what is thought to have ended there over a billion years ago?",volcanic activity
Q50,27,The lithosphere is divided into a dozen major and several minor what?,plates
Q51,65,What does CERT stand for?,Community Emergency Response Team
Q52,35,What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,elephantiasis
Q54,125,"Prior to taking on the new invader, the defending army had engaged in arduous combat; it is likely that the _____ resulting from waging two battles in two days played a part in its subsequent defeat.",enervation
Q56,99,True or false: wearing a back belt is a proven way to minimize the risk of back injury at work.,FALSE
Q58,46,What are classified by climatic factors and types of primary producers?,terrestrial biomes
Q59,75,True or false: individuals who are lactose-intolerant can consume pasteurized milk without negative side effects.,FALSE
