id,question,correct_rate
131,"In 1770s colonial New England, Puritans _____ the celebration of Christmas, which they considered to be an odious reminder of the Pope's tyranny.",0.585714286
15,"Although magma once filled our moon's craters, what is thought to have ended there over a billion years ago?",0.642857143
123,Susan _____ the theater; she bought tickets for all the shows put on by the local drama group.,0.957142857
37,What are the hormones that cause a plant to grow?,0.142857143
128,"Certainly a roundabout narrative, the book - much like the others in the author's pseudo-autobiographical series - proved to be unpopular among those who preferred _____ to loquaciousness.",0.557142857
25,What is the diffusion of water through a semipermeable membrane down its concentration gradient?,0.685714286
38,What opens two strands of DNA?,0.142857143
49,What broad group of animals are the first true tetrapods?,0.242857143
120,"Modern tennis fans have come to realize that, although, quantum technological leaps in racquet technology have lead to _____ increases in the speed and power with which players can hit the ball, this has not necessarily lead to a more entertaining game.",0.4
145,"Now known as Administrative Professionals' Day, Secretaries' Day was created in 1952 by Harry F. Klemfuss, a public relations professional who _____ the value and significance of administrative assistants in order to attract more women to the profession.",0.857142857
94,What should you NOT do while lifting objects?,0.771428571
148,"Though many _____ endlessly praised his work, Dan often wished for some honest criticism.",0.485714286
32,How often should women perform a breast self-exam?,0.514285714
17,What type of bonds are formed by the side-to-side overlap of p orbitals?,0.057142857
44,What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?,0.357142857
31,What are the little sacs at the end of the bronchioles called?,0.585714286
2,What are by far the most common type of invertebrate?,0.457142857
8,Most fungi get organic compounds from what?,0.528571429
18,On what day of the cycle does ovulation usually occur?,0.428571429
133,"Repulsed by _____ employees, the executive informed his staff that he preferred constructive criticism to calculated flattery.",0.314285714
97,What should you NOT do when lowering a load?,0.671428571
45,"When your brain senses that your body temperature is increasing, it sends messages to the blood vessels in the skin to increase in what?",0.6
82,Which fire extinguishers are used to put out Class A fires?,0.057142857
88,What should you do if you are unable to evacuate a burning building?,0.7
119,The new lecture hall's _____ design reflected the architect's minimalist influences.,0.914285714
