Qualtrics ID,Question,Answer
1,"Though many _____ endlessly praised his work, Dan often wished for some honest criticism.",sychophants
2,What broad group of animals are the first true tetrapods?,amphibians
3,On what day of the cycle does ovulation usually occur?,14th
4,"Despite what _____ philosophies of child-rearing suggest, there is no imperative that the day-to-day action of raising a child be simple, unambiguous and unchanging-no requirement, in other words, ensures that life follow philosophy.",systematic
5,What is the most abundant metal of the earth's crust?,aluminum
6,"Arrange in the correct the steps to take when someone splashes a chemical into the eye: (i) call a doctor, (ii) take out any contact lenses, (iii) flush the eyes with plenty of water, (iv) wash your hands with soap and water.","iii, iv, ii, i"
7,"True or false: if you wear a back belt, you can lift more weight than you could without a belt.",FALSE
10,What living species of bird is considered the largest of the raptors?,golden eagles
12,Which fire extinguishers are used to put out Class A fires?,Both water and multi-purpose dry chemical
14,"Ancient generals, lacking modern technologies such as radio and satellite communication, often found that one of the most significant challenges in warfare was accurate _____ of the myriad of changes on the battlefield or in the campaign.",appraisal
15,"Dismissed by the establishment, professing nothing but disdain for the canon, and yet beloved by his followers who trumpet his _____ opinions, the raffish pundit is laughing all the way to the bank.",iconoclastic
16,"With a similar contrast between a partly cloudy sky and a dark street, the cover of the recent rock CD _____ a famous surrealist painting from the early 1900s.",evokes
17,"Video game enthusiasts know that, while the astounding advances in technological innovation might increase the level of fun of the gaming experience, such a result is by no means _____ .",ineluctable
19,"In 1770s colonial New England, Puritans _____ the celebration of Christmas, which they considered to be an odious reminder of the Pope's tyranny.",repudiated
20,The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,head
21,"Arrange in the correct order the following treatment steps for somebody who has lost consciousness: (i) call 911 or inform someone of the situation, (ii) begin CPR, (iii) check the patient's airway to make sure it is clear, (iv) place the victim on his\/her back, (v) check signs of life (coughing, breathing, or movement).","iv, i, iii, v, ii"
22,What are the hormones that cause a plant to grow?,gibberellins
23,What is the correct method for saving someone from choking?,Five back blows followed by five abdominal thrusts if necessary
25,What is a symptom of a heatstroke?,"Rapid strong pulse, hallucinations, throbbing headache, and high body temperature"
27,Organisms that live deep in the ocean must be able to withstand what?,extreme water pressure
28,How long can high-acid canned food such as tomatoes be stored?,12 to 18 months
31,To what does the acronym SLM refer?,Sound Level Meter
32,The Erie Canal's completion caused _____ economic ripples; property values and industrial output along its route rose exponentially.,prodigious
33,True or false: the primary function of a fire door is to exit a building in case of fire.,FALSE
34,How often should women perform a breast self-exam?,monthly
36,"In psychological literature, the ""sleeper effect"" refers to the phenomenon in which a persuasive message from a trustworthy source loses _____ over time, while the efficacy of a message from a less credible source simultaneously increases.",cogency
37,What are the little sacs at the end of the bronchioles called?,alveoli
38,What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?,birds
39,"Many dog owners treat their pets too _____ , forgetting that canines have evolved in competitive environments in which emotional coddling was a sign of weakness.",indulgently
40,"When your brain senses that your body temperature is increasing, it sends messages to the blood vessels in the skin to increase in what?",diameter
41,"What arises due to crossing over, independent assortment, and the random union of gametes?",genetic variation
42,"When using a ladder to climb a roof, the ladder must extend at least___ above it.",36
43,Voters have become so inured to the fickle nature of politicians that they responded to the levy of a new tax with _____ .,stolidity
44,What should you NOT do while treating cuts and scrapes?,Wash the wound with soap
46,Most insects reproduce quickly and through what type of reproduction?,sexual reproduction
47,"Although magma once filled our moon's craters, what is thought to have ended there over a billion years ago?",volcanic activity
49,"Despite the smile that spread from ear to ear, the eyes relayed a certain _____ .",sorrow
50,The lithosphere is divided into a dozen major and several minor what?,plates
51,What does CERT stand for?,Community Emergency Response Team
52,What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,elephantiasis
53,"Dolly Madison, the wife of President James Madison, was known especially for her _____ , remaining calm even as the British invaded Washington D.C. during the War of 1812.",equanimity
54,"Prior to taking on the new invader, the defending army had engaged in arduous combat; it is likely that the _____ resulting from waging two battles in two days played a part in its subsequent defeat.",enervation
56,True or false: wearing a back belt is a proven way to minimize the risk of back injury at work.,FALSE
58,What are classified by climatic factors and types of primary producers?,terrestrial biomes
59,True or false: individuals who are lactose-intolerant can consume pasteurized milk without negative side effects.,FALSE
60,True or false: portable fire extinguishers should only be used by trained employees.,TRUE
