Qualtrics ID,QID,Question,Answer
Q1,148,"Though many _____ endlessly praised his work, Dan often wished for some honest criticism.",sycophants
Q3,18,On what day of the cycle does ovulation usually occur?,14th
Q5,6,What is the most abundant metal of the earth's crust?,aluminum
Q10,21,What living species of bird is considered the largest of the raptors?,golden eagles
Q12,82,Which fire extinguishers are used to put out Class A fires?,Both water and multi-purpose dry chemical
Q14,135,"Ancient generals, lacking modern technologies such as radio and satellite communication, often found that one of the most significant challenges in warfare was accurate _____ of the myriad of changes on the battlefield or in the campaign.",appraisal
Q15,114,"Dismissed by the establishment, professing nothing but disdain for the canon, and yet beloved by his followers who trumpet his _____ opinions, the raffish pundit is laughing all the way to the bank.",iconoclastic
Q17,113,"Video game enthusiasts know that, while the astounding advances in technological innovation might increase the level of fun of the gaming experience, such a result is by no means _____ .",ineluctable
Q22,37,What are the hormones that cause a plant to grow?,gibberellins
Q25,58,What is a symptom of a heatstroke?,"Rapid strong pulse, hallucinations, throbbing headache, and high body temperature"
Q28,64,How long can high-acid canned food such as tomatoes be stored?,12 to 18 months
Q31,84,To what does the acronym SLM refer?,Sound Level Meter
Q33,90,True or false: the primary function of a fire door is to exit a building in case of fire.,FALSE
Q35,117,"Possessing few natural resources upon its newly-granted independence in 1863, Singapore remained economically _____ until an influx of industrialization and foreign investment took hold there.",dubious
Q36,136,"In psychological literature, the ""sleeper effect"" refers to the phenomenon in which a persuasive message from a trustworthy source loses _____ over time, while the efficacy of a message from a less credible source simultaneously increases.",cogency
Q37,31,What are the little sacs at the end of the bronchioles called?,alveoli
Q39,132,"Many dog owners treat their pets too _____ , forgetting that canines have evolved in competitive environments in which emotional coddling was a sign of weakness.",indulgently
Q42,76,"When using a ladder to climb a roof, the ladder must extend at least___ above it.",36
Q44,53,What should you NOT do while treating cuts and scrapes?,Wash the wound with soap
Q50,27,The lithosphere is divided into a dozen major and several minor what?,plates
Q51,65,What does CERT stand for?,Community Emergency Response Team
Q52,35,What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,elephantiasis
Q54,125,"Prior to taking on the new invader, the defending army had engaged in arduous combat; it is likely that the _____ resulting from waging two battles in two days played a part in its subsequent defeat.",enervation
Q56,99,True or false: wearing a back belt is a proven way to minimize the risk of back injury at work.,FALSE
Q60,79,True or false: portable fire extinguishers should only be used by trained employees.,TRUE
