Question,A1CZP14HAXK16S: QuizA,A1CZP14HAXK16S: QuizB,AY9ZVK32I1P1L: QuizA,AY9ZVK32I1P1L: QuizB,A4J4GGMKJ68L0: QuizA,A4J4GGMKJ68L0: QuizB,A1OSRAPSRT934Z: QuizA,A1OSRAPSRT934Z: QuizB,AJRY9ALX8069Y: QuizA,AJRY9ALX8069Y: QuizB,A3RQN5RZD1N2KP: QuizA,A3RQN5RZD1N2KP: QuizB,A1OQ3KL56KMQSU: QuizA,A1OQ3KL56KMQSU: QuizB,A37S96RT1P1IT2: QuizA,A37S96RT1P1IT2: QuizB,A2ALWT2BUSXD83: QuizA,A2ALWT2BUSXD83: QuizB,A3JP7DIFRS0ZBY: QuizA,A3JP7DIFRS0ZBY: QuizB,A2I6ZS386UJVJE: QuizA,A2I6ZS386UJVJE: QuizB,A2NT3OQZUUZPEO: QuizA,A2NT3OQZUUZPEO: QuizB,A5NHP0N1XC09K: QuizA,A5NHP0N1XC09K: QuizB,A2JP9IKRHNLRPI: QuizA,A2JP9IKRHNLRPI: QuizB,A1PLB1NZOE2PQ7: QuizA,A1PLB1NZOE2PQ7: QuizB,AXJ1PE87PD0KK: QuizA,AXJ1PE87PD0KK: QuizB,AR22D9E55HQBF: QuizA,AR22D9E55HQBF: QuizB,AAASQIW3J32OL: QuizA,AAASQIW3J32OL: QuizB,A1SLJKNSNHOJRN: QuizA,A1SLJKNSNHOJRN: QuizB,AKSJ3C5O3V9RB: QuizA,AKSJ3C5O3V9RB: QuizB,A1G4QY3W5J5PMW: QuizA,A1G4QY3W5J5PMW: QuizB,A1MYLQQL8BBOYT: QuizA,A1MYLQQL8BBOYT: QuizB,A3Q0XAGQ7TD7MP: QuizA,A3Q0XAGQ7TD7MP: QuizB,A3G55RJTW3BSGM: QuizA,A3G55RJTW3BSGM: QuizB,A9692Y27LBXT9: QuizA,A9692Y27LBXT9: QuizB,APGX2WZ59OWDN: QuizA,APGX2WZ59OWDN: QuizB,A14HW8I4RYHNC4: QuizA,A14HW8I4RYHNC4: QuizB,A3GPTSDDHJ2DBV: QuizA,A3GPTSDDHJ2DBV: QuizB,ACN0C9HPYDTED: QuizA,ACN0C9HPYDTED: QuizB,ACGZDI611LU0I: QuizA,ACGZDI611LU0I: QuizB,A1IMO5XR05U7S5: QuizA,A1IMO5XR05U7S5: QuizB,A2EZNZ6X58RTNR: QuizA,A2EZNZ6X58RTNR: QuizB,A1CH3TODZNQCES: QuizA,A1CH3TODZNQCES: QuizB,A90NKJUJ7HTEQ: QuizA,A90NKJUJ7HTEQ: QuizB,A39Q4SNT7SRK94: QuizA,A39Q4SNT7SRK94: QuizB,AV22FQTJNBUZT: QuizA,AV22FQTJNBUZT: QuizB,A1E235KE3CSO7H: QuizA,A1E235KE3CSO7H: QuizB,AEF74ZYJTTEIA: QuizA,AEF74ZYJTTEIA: QuizB,A3N0QZ9ZKUCTCQ: QuizA,A3N0QZ9ZKUCTCQ: QuizB,A1VIP6S8H2XXH7: QuizA,A1VIP6S8H2XXH7: QuizB,A1ZN6V0PU8VVAH: QuizA,A1ZN6V0PU8VVAH: QuizB,A1LRJ2MQD4AMES: QuizA,A1LRJ2MQD4AMES: QuizB,A1A1A9UHNQCI9Y: QuizA,A1A1A9UHNQCI9Y: QuizB,A193D9OQUVFSVT: QuizA,A193D9OQUVFSVT: QuizB,A2B8HPIZDKYKDR: QuizA,A2B8HPIZDKYKDR: QuizB,AW0K78T4I2T72: QuizA,AW0K78T4I2T72: QuizB,A149ROBL26JWPJ: QuizA,A149ROBL26JWPJ: QuizB,A3QLGMZOLGMBQ1: QuizA,A3QLGMZOLGMBQ1: QuizB,A3O7X46E3REM7I: QuizA,A3O7X46E3REM7I: QuizB,APUPF3D94XYUQ: QuizA,APUPF3D94XYUQ: QuizB,ALEJV7D94ZLHF: QuizA,ALEJV7D94ZLHF: QuizB,A1Y9VA9FKJLS5K: QuizA,A1Y9VA9FKJLS5K: QuizB,A3HMDGRGC5JB7E: QuizA,A3HMDGRGC5JB7E: QuizB,A30GPAEVFFIAIW: QuizA,A30GPAEVFFIAIW: QuizB,A2HSFJ1STZZGM5: QuizA,A2HSFJ1STZZGM5: QuizB,ALKQPW0O9C98N: QuizA,ALKQPW0O9C98N: QuizB,A2WC2NO555XU3J: QuizA,A2WC2NO555XU3J: QuizB,AA4KKLIU4C3NY: QuizA,AA4KKLIU4C3NY: QuizB,AQXRHIMQ7UK7O: QuizA,AQXRHIMQ7UK7O: QuizB,A2OFN0A5CPLH57: QuizA,A2OFN0A5CPLH57: QuizB,A271V19C06841K: QuizA,A271V19C06841K: QuizB,A27MJOV91GA8R3: QuizA,A27MJOV91GA8R3: QuizB,A2RBF3IIJP15IH: QuizA,A2RBF3IIJP15IH: QuizB,5955a3eb98c9c400019f5c5f: QuizA,5955a3eb98c9c400019f5c5f: QuizB,A3OW5EFQ5QFD19: QuizA,A3OW5EFQ5QFD19: QuizB,A1DIGREVLNOXT3: QuizA,A1DIGREVLNOXT3: QuizB
0,,,adversaries,,,,,,benefactors,benefactors,benefactors,benefactors,pedants,pedants,sycophants,sycophants,,,sycophants,sycophants,benefactors,benefactors,sycophants,sycophants,sycophants,sycophants,pedants,pedants,benefactors,benefactors,,benefactors,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,pedants,benefactors,benefactors,benefactors,,,sycophants,sycophants,,,sycophants,benefactors,benefactors,benefactors,sycophants,sycophants,sycophants,benefactors,benefactors,benefactors,sycophants,sycophants,,benefactors,adversaries,adversaries,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,adversaries,adversaries,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,sycophants,benefactors,benefactors,benefactors,benefactors,,,sycophants,sycophants,benefactors,adversaries,sycophants,sycophants,sycophants,sycophants,benefactors,benefactors,benefactors,benefactors,adversaries,adversaries,,,pedants,,sycophants,sycophants,benefactors,benefactors,sycophants,sycophants,,,,
1,,,,,random,random,systematic,systematic,systematic,systematic,aggressive,aggressive,systematic,systematic,systematic,systematic,shameless,shameless,shameless,shameless,aggressive,aggressive,systematic,systematic,,,systematic,systematic,systematic,systematic,systematic,systematic,,,systematic,systematic,systematic,systematic,systematic,systematic,,,systematic,systematic,inexact,inexact,,,systematic,systematic,systematic,systematic,systematic,,systematic,systematic,systematic,inexact,systematic,systematic,systematic,systematic,systematic,systematic,aggressive,aggressive,shameless,shameless,,,systematic,systematic,inexact,inexact,aggressive,systematic,systematic,systematic,systematic,systematic,inexact,inexact,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,,,systematic,systematic,aggressive,inexact,systematic,,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,systematic,,inexact,,systematic,systematic,systematic,systematic,,,,
2,aluminum,aluminum,,,copper,copper,aluminum,aluminum,aluminum,aluminum,,,,,calcium,calcium,aluminum,aluminum,,,,,,,magnetite,magnetite,aluminum,,aluminum,aluminum,copper,copper,,,copper,copper,,,aluminum,aluminum,aluminum,aluminum,,,aluminum,aluminum,,,aluminum,aluminum,aluminum,aluminum,copper,copper,,calcium,copper,copper,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,aluminum,,,,,,,aluminum,aluminum,,,aluminum,aluminum,calcium,calcium,aluminum,aluminum,calcium,calcium,copper,copper,aluminum,aluminum,,,aluminum,aluminum,,,,,aluminum,aluminum,,,,,,,aluminum,aluminum,aluminum,aluminum,,,,,,,,,,,copper,copper,magnetite,magnetite,,,magnetite,copper,,,aluminum,aluminum,,
3,,,,,False,False,False,False,,True,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,,True,True,,False,True,True,False,False,,,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,,,False,False,,,True,True,False,False,True,True,True,True,False,False,True,True,False,False,,,,,False,False,,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,True,,,True,True,False,False
4,,,,,static,static,,,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,transient,static,static,,,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,transient,transient,static,static,maladjusted,maladjusted,static,static,static,static,,,static,static,static,,static,static,static,static,static,static,,,static,static,static,static,static,static,static,static,static,static,static,static,static,static,static,discreet,static,static,,transient,static,static,,,maladjusted,,static,static,static,static,transient,static,static,static,static,static,static,static,static,static,,,static,static,static,static,static,static,,
5,peregrine falcon,peregrine falcon,,,,,,,California condor,California condor,California condor,California condor,,,California condor,California condor,,,California condor,California condor,,,California condor,golden eagles,,,,,golden eagles,golden eagles,California condor,California condor,,,California condor,golden eagles,,,peregrine falcon,peregrine falcon,,,California condor,California condor,California condor,California condor,California condor,California condor,golden eagles,golden eagles,,peregrine falcon,California condor,California condor,California condor,California condor,California condor,California condor,,,peregrine falcon,peregrine falcon,California condor,California condor,California condor,California condor,,,peregrine falcon,peregrine falcon,,,,,California condor,California condor,,,California condor,California condor,,,California condor,California condor,California condor,California condor,peregrine falcon,California condor,California condor,California condor,California condor,California condor,,,pterodactyl,,golden eagles,golden eagles,,,California condor,California condor,,,peregrine falcon,peregrine falcon,California condor,California condor,California condor,California condor,,,,,,,California condor,California condor,,,golden eagles,golden eagles,golden eagles,golden eagles,pterodactyl,,,,,California condor,,
6,,,,,,,,,meritless,meritless,blithe,meritless,,,meritless,meritless,,,meritless,meritless,meritless,meritless,,,iconoclastic,iconoclastic,meritless,meritless,,blithe,meritless,meritless,iconoclastic,iconoclastic,iconoclastic,iconoclastic,,iconoclastic,iconoclastic,iconoclastic,,,iconoclastic,iconoclastic,meritless,meritless,,,meritless,meretricious,iconoclastic,iconoclastic,iconoclastic,iconoclastic,meritless,meritless,meritless,meritless,,,iconoclastic,iconoclastic,,meritless,meritless,meritless,meritless,,,,meretricious,inveterate,iconoclastic,iconoclastic,meretricious,meretricious,,,blithe,meritless,meritless,meritless,meritless,meritless,meritless,meritless,blithe,blithe,meritless,meritless,meritless,meritless,iconoclastic,iconoclastic,,,iconoclastic,iconoclastic,meritless,meritless,,,,,meritless,,iconoclastic,,,iconoclastic,iconoclastic,iconoclastic,meritless,meritless,iconoclastic,iconoclastic,blithe,blithe,,,meritless,meritless,,,,iconoclastic,inveterate,inveterate,meritless,meritless,,
7,,,,,evokes,evokes,admires,admires,evokes,evokes,,,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,obfuscates,obfuscates,evokes,evokes,evokes,evokes,evokes,admires,evokes,admires,admires,admires,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes,admires,,,,obfuscates,,,admires,admires,obfuscates,obfuscates,evokes,evokes,,,obfuscates,evokes,evokes,evokes,disenchants,disenchants,evokes,evokes,,,evokes,evokes,evokes,evokes,evokes,evokes,evokes,evokes
8,head,head,,,,,,,,,,,,,tongue,tongue,,,,,tongue,tongue,,,,,,,,,,,,,,,,,head,head,head,head,,,,,,,head,head,head,head,,,,,,,,,,,,,head,,,,head,head,,,head,head,head,head,,,tongue,tongue,,,tongue,tongue,,,,,,,head,head,,,,,head,head,,,,,,,,,,,tongue,tongue,,,,,head,head,,,,,,,,,,,,,,,,
9,gibberellins,,,,,,,,gibberellins,gibberellins,,,,,,,,,,,sporozoans,sporozoans,pistills,pistills,,,,,,sporozoans,sporozoans,sporozoans,,,gibberellins,gibberellins,,,gibberellins,gibberellins,,,,,gibberellins,gibberellins,,,gibberellins,gibberellins,,,,,,,sporozoans,pistills,,,gibberellins,gibberellins,,,sporozoans,sporozoans,,,,,,,,,pistills,pistills,,,sporozoans,sporozoans,,,sporozoans,sporozoans,,,sporozoans,sporozoans,,,gibberellins,gibberellins,,,,,gibberellins,gibberellins,pistills,,,,,,sporozoans,pores,,,,sporozoans,,,,,gibberellins,gibberellins,,,,,,,,,sporozoans,,sporozoans,sporozoans,,,,
