Qualtrics ID,QID,Question,Answer
Q1,148,"Though many _____ endlessly praised his work, Dan often wished for some honest criticism.",sycophants
Q5,6,What is the most abundant metal of the earth's crust?,aluminum
Q6,51,"Arrange in the correct the steps to take when someone splashes a chemical into the eye: (i) call a doctor, (ii) take out any contact lenses, (iii) flush the eyes with plenty of water, (iv) wash your hands with soap and water.","iii, iv, ii, i"
Q10,21,What living species of bird is considered the largest of the raptors?,golden eagles
Q12,82,Which fire extinguishers are used to put out Class A fires?,Both water and multi-purpose dry chemical
Q15,114,"Dismissed by the establishment, professing nothing but disdain for the canon, and yet beloved by his followers who trumpet his _____ opinions, the raffish pundit is laughing all the way to the bank.",iconoclastic
Q17,113,"Video game enthusiasts know that, while the astounding advances in technological innovation might increase the level of fun of the gaming experience, such a result is by no means _____ .",ineluctable
Q20,41,The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,head
Q21,55,"Arrange in the correct order the following treatment steps for somebody who has lost consciousness: (i) call 911 or inform someone of the situation, (ii) begin CPR, (iii) check the patient's airway to make sure it is clear, (iv) place the victim on his\/her back, (v) check signs of life (coughing, breathing, or movement).","iv, i, iii, v, ii"
Q31,84,To what does the acronym SLM refer?,Sound Level Meter
Q32,103,The Erie Canal's completion caused _____ economic ripples; property values and industrial output along its route rose exponentially.,prodigious
Q33,90,True or false: the primary function of a fire door is to exit a building in case of fire.,FALSE
Q38,44,What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?,birds
Q42,76,"When using a ladder to climb a roof, the ladder must extend at least___ above it.",36
Q43,104,Voters have become so inured to the fickle nature of politicians that they responded to the levy of a new tax with _____ .,stolidity
Q44,53,What should you NOT do while treating cuts and scrapes?,Wash the wound with soap
Q50,27,The lithosphere is divided into a dozen major and several minor what?,plates
Q51,65,What does CERT stand for?,Community Emergency Response Team
Q56,99,True or false: wearing a back belt is a proven way to minimize the risk of back injury at work.,FALSE
Q58,46,What are classified by climatic factors and types of primary producers?,terrestrial biomes
Q60,79,True or false: portable fire extinguishers should only be used by trained employees.,TRUE
